cep,quantidade,lat,lon,state,city,neighborhood,street,service
00067730,60.0,,,,,,,
08375000,1.0,,,SP,São Paulo,Jardim Três Marias,Avenida Ragueb Chohfi,open-cep
08605524,2.0,,,,,,,
12580524,10.0,,,SP,Roseira,Pedro Leme,Rua João Miguel,open-cep
13486124,2.0,,,SP,Limeira,Boa Vista,Rua Oliveiros Jorge,open-cep
13631970,14.0,,,SP,Pirassununga,Centro,Avenida Newton Prado 3329,open-cep
14315358,2.0,,,SP,Batatais,Riachuelo,Avenida Moacir Dias de Morais,open-cep
15620000,10.0,,,SP,Macedônia,,,open-cep
15994900,2.0,,,SP,Matão,Nova Matão,Avenida Marchesan 1979,open-cep
18207844,24.0,,,SP,Itapetininga,Parque São Bento,Rua Luiz Gonzaga Rocha,open-cep
18406450,44.0,,,SP,Itapeva,Jardim Europa,Rua Áustria,open-cep
18610603,8.0,,,SP,Botucatu,Colinas do Paraíso,Rua Sylvio Baptista de Almeida Junior,open-cep
18709899,2.0,,,SP,Avaré,Área Rural de Avaré,Área Rural,open-cep
18725000,22.0,,,SP,Paranapanema,Holambra II,,open-cep
18744899,8.0,,,SP,Taquarituba,Área Rural de Taquarituba,Área Rural,open-cep
18879899,2.0,,,SP,Fartura,Área Rural de Fartura,Área Rural,open-cep
19864899,22.0,,,SP,Cruzália,Área Rural de Cruzália,Área Rural,open-cep
19889899,2.0,,,SP,Cândido Mota,Área Rural de Santo Antônio do Paranapanema,Área Rural,open-cep
19940021,18.0,,,SP,Ibirarema,Centro,Rua Doutor Júlio Prestes,open-cep
19960040,4.0,,,SP,Campos Novos Paulista,Jardim dos Ypês,Rua Elízio Aurélio Bertoncini,open-cep
19978899,22.0,,,SP,Palmital,Área Rural de Palmital,Área Rural,open-cep
37223000,12.0,,,MG,Ibituruna,,,open-cep
37407000,50.0,,,MG,São Bento Abade,,,open-cep
37418899,14.0,,,MG,Três Corações,Área Rural de Três Corações,Área Rural,open-cep
37790000,8.0,,,MG,Ibitiúra de Minas,,,open-cep
38057801,2.0,,,MG,Uberaba,Villaggio Di Fiori,Rua Adília de Novaes Franca,open-cep
38175000,32.0,,,MG,Santa Juliana,,,open-cep
38184899,28.0,,,MG,Araxá,Área Rural de Araxá,Área Rural,open-cep
38270000,2.0,,,MG,Campina Verde,,,open-cep
38490000,24.0,,,MG,Indianópolis,,,open-cep
38616014,66.0,,,MG,Unaí,Cruzeiro,Rua Ouro Preto,open-cep
38623899,110.0,,,MG,Unaí,Área Rural de Unaí,Área Rural,open-cep
38689000,22.0,,,MG,Chapada Gaúcha,,,open-cep
38755000,12.0,,,MG,Lagoa Grande,,,open-cep
47100000,48.0,,,BA,Barra,,,open-cep
47650000,110.0,,,BA,Correntina,,,open-cep
47655000,90.0,,,BA,Jaborandi,,,open-cep
47803750,128.0,,,BA,Barreiras,Alphaville,Avenida Clériston Andrade,open-cep
47806124,40.0,,,BA,Barreiras,Vila Regina,Rua Marcos Freire,open-cep
47819899,108.0,,,BA,Barreiras,Área Rural de Barreiras,Área Rural,open-cep
47850000,2.0,,,BA,Luís Eduardo Magalhães,,,open-cep
47855676,256.0,,,BA,Luís Eduardo Magalhães,Jardim Paraíso,Rua Juscelino Kubitschek,open-cep
47865899,190.0,,,BA,Luís Eduardo Magalhães,Área Rural de Luís Eduardo Magalhães,Área Rural,open-cep
47970000,98.0,,,BA,Riachão das Neves,,,open-cep
49514000,16.0,,,SE,Frei Paulo,,,open-cep
64900000,10.0,,,PI,Bom Jesus,,,open-cep
65530000,26.0,,,MA,Urbano Santos,,,open-cep
68193000,176.0,,,PA,Novo Progresso,,,open-cep
68521000,26.0,,,PA,Brejo Grande do Araguaia,,,open-cep
68565000,30.0,,,PA,Santa Maria das Barreiras,,,open-cep
68627451,170.0,,,PA,Paragominas,Nova Conquista,Rodovia PA-256,open-cep
69315212,100.0,,,RR,Boa Vista,Distrito Industrial Governador Aquilino Mota Duarte,Rua DI-B,open-cep
69931000,22.0,,,AC,Capixaba,,,open-cep
72975000,80.0,,,GO,Cocalzinho de Goiás,,,open-cep
73990000,120.0,,,GO,Sítio D'Abadia,,,open-cep
74425380,60.0,,,GO,Goiânia,Cidade Jardim,Avenida Venerando de Freitas,open-cep
74610210,2.0,,,GO,Goiânia,Setor Leste Universitário,Rua 257,open-cep
75110477,22.0,,,GO,Anápolis,Jundiaí,Rua Presidente Kennedy,open-cep
75184000,120.0,,,GO,Gameleira de Goiás,,,open-cep
75240000,28.0,,,GO,Bela Vista de Goiás,,,open-cep
75395000,24.0,,,GO,Avelinópolis,,,open-cep
75600000,24.0,,,GO,Goiatuba,,,open-cep
75650000,160.0,,,GO,Morrinhos,,,open-cep
75800001,148.0,,,GO,Jataí,Setor Central - Parte Baixa,Avenida Professor Edvan Assis Melo,open-cep
75803297,12.0,,,GO,Jataí,Setor Hermosa,Rua Zeca Vilela,open-cep
75803615,4.0,,,GO,Jataí,Residencial das Brisas,Rua 12,open-cep
75804053,4.0,,,GO,Jataí,Samuel Grahan,Rua 4,open-cep
75804712,170.0,,,GO,Jataí,Residencial Flamboyant,Rua W 7,open-cep
75809899,44.0,,,GO,Jataí,Área Rural de Jataí,Área Rural,open-cep
75820000,198.0,,,GO,Serranópolis,,,open-cep
75830000,34.0,,,GO,Mineiros,,,widenet
75832011,30.0,,,GO,Mineiros,Mundinho,Rua Quatro,open-cep
75832052,30.0,,,GO,Mineiros,Setor São Bento,Avenida Sete,open-cep
75832100,26.0,,,GO,Mineiros,Setor Nossa Senhora de Fátima,Rua Tonico Luciano,open-cep
75832567,2.0,,,GO,Mineiros,Loteamento Martins II,Rua Santana,open-cep
75834279,30.0,,,GO,Mineiros,Morada do Sol,Avenida Ino Resende,open-cep
75834392,162.0,,,GO,Mineiros,Loteamento Almerinda Rezende,Avenida Ino Resende,open-cep
75838899,93.0,,,GO,Mineiros,Área Rural de Mineiros,Área Rural,open-cep
75860000,76.0,,,GO,Quirinópolis,,,open-cep
75900000,72.0,,,,,,,
75915000,301.0,,,GO,Montividiu,,,open-cep
75930000,26.0,,,GO,Maurilândia,,,open-cep
76230000,32.0,,,GO,Piranhas,,,open-cep
76235000,52.0,,,GO,Arenópolis,,,open-cep
76381328,18.0,,,GO,Goianésia,Conjunto Meridian,Avenida Bela Vista,open-cep
76800000,20.0,,,,,,,
76864000,38.0,,,RO,Cujubim,,,open-cep
76934000,4.0,,,RO,Seringueiras,,,open-cep
77023464,224.0,,,TO,Palmas,Plano Diretor Sul,Quadra ASR SE 95 Alameda 9,open-cep
