"CEP";"Quantidade"
"98920-000";"1,00"
"78643-000";"18,00"
"98920-000";"1,00"
"98920-000";"1,00"
"78545-000";"28,00"
"78545-000";"28,00"
"78545-000";"28,00"
"78545-000";"28,00"
"78360-000";"23,00"
"79430-000";"10,00"
"47820-000";"125,00"
"84990-000";"2,00"
"98920-000";"1,00"
"97700-650";"1,00"
"78840-000";"23,00"
"85884-000";"20,00"
"79932-000";"2,00"
"78880-000";"2,00"
"08375-000";"1,00"
"85940-000";"2,00"
"98010-490";"1,00"
"99530-000";"2,00"
"79490-000";"1,00"
"78548-000";"1,00"
"79490-000";"1,00"
"98920-000";"1,00"
"98920-000";"1,00"
"68633-000";"2,00"
"73850-000";"30,00"
"68627-451";"30,00"
"85998-000";"4,00"
"97753-000";"2,00"
"96445-000";"15,00"
"79904-686";"4,00"
"75880-000";"13,00"
"75915-000";"15,00"
"08605-524";"2,00"
"99490-000";"1,00"
"96750-000";"1,00"
"98250-000";"8,00"
"47850-000";"2,00"
"79150-000";"2,00"
"19880-025";"4,00"
"68565-000";"30,00"
"79490-000";"12,00"
"95540-000";"8,00"
"85945-000";"12,00"
"87770-000";"10,00"
"75803-615";"4,00"
"18460-516";"2,00"
"89560-000";"2,00"
"77023-464";"224,00"
"85108-000";"20,00"
"85108-000";"4,00"
"79000-170";"2,00"
"47655-000";"90,00"
"47970-000";"4,00"
"75832-100";"6,00"
"65780-000";"60,00"
"78810-000";"30,00"
"73780-000";"40,00"
"86200-000";"22,00"
"96425-500";"2,00"
"76980-044";"2,00"
"75832-100";"20,00"
"85010-020";"28,00"
"78360-000";"1,00"
"65930-000";"10,00"
"78250-000";"20,00"
"98920-000";"4,00"
"75832-567";"2,00"
"78607-899";"8,00"
"98040-336";"6,00"
"75830-076";"6,00"
"96501-460";"22,00"
"75830-000";"2,00"
"97200-000";"2,00"
"85575-000";"2,00"
"96508-010";"8,00"
"89300-000";"2,00"
"98920-000";"10,00"
"77458-000";"4,00"
"98920-000";"20,00"
"96506-332";"2,00"
"74425-380";"60,00"
"98920-000";"20,00"
"47855-676";"30,00"
"79150-000";"6,00"
"98770-000";"56,00"
"99175-000";"2,00"
"98040-336";"4,00"
"89294-000";"2,00"
"62960-000";"50,00"
"78870-000";"20,00"
"78894-110";"16,00"
"19940-021";"2,00"
"86184-310";"52,00"
"78254-000";"28,00"
"38610-074";"2,00"
"81460-070";"2,00"
"99470-000";"22,00"
"78635-000";"220,00"
"79150-000";"2,00"
"38779-000";"10,00"
"78896-050";"2,00"
"98920-000";"1,00"
"18709-899";"2,00"
"98920-000";"1,00"
"71200-234";"98,00"
"79040-010";"30,00"
"95320-000";"2,00"
"85440-000";"4,00"
"84980-000";"10,00"
"18879-899";"2,00"
"81460-070";"98,00"
"77695-000";"20,00"
"96508-044";"8,00"
"78885-000";"160,00"
"76800-000";"20,00"
"78894-110";"6,00"
"85195-000";"104,00"
"79430-000";"8,00"
"19940-021";"14,00"
"38610-074";"24,00"
"47855-676";"100,00"
"87225-000";"4,00"
"69931-000";"22,00"
"79150-000";"2,00"
"18610-603";"8,00"
"98570-000";"20,00"
"19940-021";"2,00"
"75908-740";"2,00"
"78870-000";"20,00"
"38057-801";"2,00"
"79124-899";"6,00"
"79150-000";"32,00"
"89890-000";"2,00"
"78200-000";"20,00"
"62960-000";"50,00"
"73990-000";"24,00"
"98590-000";"2,00"
"68560-000";"60,00"
"47970-000";"46,00"
"47855-724";"102,00"
"47970-000";"46,00"
"75832-011";"30,00"
"78360-000";"4,00"
"78360-000";"1,00"
"78360-000";"1,00"
"78360-000";"1,00"
"15470-000";"20,00"
"98300-000";"60,00"
"78850-000";"30,00"
"99490-000";"20,00"
"78455-000";"36,00"
"78455-000";"24,00"
"65980-000";"4,00"
"72975-000";"80,00"
"79170-000";"2,00"
"75860-000";"42,00"
"97541-151";"30,00"
"85845-000";"26,00"
"65940-000";"142,00"
"75915-000";"20,00"
"75915-000";"20,00"
"79560-000";"4,00"
"78640-000";"56,00"
"95300-000";"40,00"
"77813-445";"24,00"
"47650-000";"60,00"
"29909-010";"24,00"
"98300-000";"24,00"
"38623-899";"34,00"
"15994-900";"2,00"
"99500-000";"22,00"
"97650-000";"2,00"
"75600-000";"24,00"
"13416-310";"30,00"
"84196-200";"8,00"
"73900-000";"4,00"
"75830-144";"30,00"
"47650-000";"50,00"
"96930-000";"18,00"
"85884-000";"40,00"
"75900-000";"72,00"
"97700-435";"6,00"
"96400-121";"2,00"
"97501-560";"28,00"
"79051-690";"8,00"
"78870-000";"44,00"
"85170-000";"4,00"
"78652-000";"50,00"
"75820-000";"48,00"
"78670-000";"40,00"
"85884-000";"40,00"
"84196-200";"28,00"
"84196-200";"32,00"
"77480-000";"4,00"
"98920-000";"2,00"
"89560-000";"12,00"
"97610-000";"8,00"
"73900-000";"52,00"
"98300-000";"24,00"
"78885-000";"2,00"
"98590-000";"2,00"
"78450-000";"2,00"
"47806-124";"32,00"
"75800-001";"16,00"
"86170-000";"2,00"
"83880-000";"14,00"
"87225-000";"6,00"
"89309-899";"2,00"
"75830-000";"32,00"
"85884-000";"30,00"
"84165-720";"20,00"
"18400-170";"44,00"
"89830-000";"4,00"
"75800-054";"4,00"
"89830-000";"2,00"
"78650-000";"26,00"
"76864-000";"38,00"
"98040-336";"20,00"
"73900-000";"80,00"
"87340-000";"16,00"
"75906-490";"122,00"
"85884-000";"82,00"
"85884-000";"4,00"
"98125-000";"2,00"
"74610-210";"2,00"
"75804-712";"118,00"
"78652-000";"38,00"
"78652-000";"10,00"
"79380-000";"80,00"
"85884-000";"40,00"
"85884-000";"20,00"
"85884-000";"10,00"
"85884-000";"4,00"
"78652-000";"4,00"
"47990-000";"2,00"
"75804-053";"4,00"
"78645-000";"60,00"
"78635-000";"240,00"
"98580-000";"20,00"
"85950-000";"2,00"
"78690-000";"18,00"
"98920-000";"4,00"
"89613-000";"3,00"
"78365-000";"12,00"
"78628-000";"2,00"
"79904-442";"60,00"
"77700-000";"4,00"
"98300-000";"22,00"
"38184-899";"28,00"
"75820-000";"30,00"
"85960-000";"16,00"
"47806-124";"8,00"
"77848-000";"60,00"
"15092-440";"14,00"
"78888-000";"10,00"
"75940-000";"4,00"
"83980-000";"32,00"
"95880-000";"32,00"
"78360-000";"72,00"
"98590-000";"66,00"
"84980-000";"50,00"
"15775-000";"14,00"
"78785-000";"54,00"
"78635-000";"48,00"
"79490-000";"24,00"
"75803-297";"12,00"
"78770-000";"44,00"
"73900-000";"48,00"
"75809-899";"44,00"
"85170-000";"48,00"
"98270-000";"26,00"
"98700-000";"6,00"
"78450-000";"4,00"
"19960-040";"4,00"
"65990-000";"4,00"
"65937-000";"20,00"
"62960-000";"40,00"
"75620-000";"60,00"
"47819-899";"104,00"
"79010-090";"2,00"
